Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000026
2, 4, 1, 0.000003
3, 8, 12, 0.000004
4, 16, 28, 0.000006
5, 32, 87, 0.000008
6, 64, 190, 0.000015
7, 128, 470, 0.000031
8, 256, 1338, 0.000065
9, 512, 3049, 0.000139
10, 1024, 6703, 0.000299
11, 2048, 15469, 0.000673
12, 4096, 34849, 0.001527
13, 8192, 78270, 0.003436
14, 16384, 174236, 0.006068
15, 32768, 382391, 0.010526
16, 65536, 832509, 0.022274
17, 131072, 1815100, 0.048861
18, 262144, 3888561, 0.104436
19, 524288, 8367179, 0.227177
20, 1048576, 17831702, 0.504034
21, 2097152, 37976994, 1.150085
22, 4194304, 80685804, 2.565082
23, 8388608, 170774919, 5.624301
