Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000003
2, 4, 1, 0.000002
3, 8, 11, 0.000003
4, 16, 16, 0.000004
5, 32, 87, 0.000007
6, 64, 247, 0.000014
7, 128, 571, 0.000029
8, 256, 1544, 0.000062
9, 512, 3635, 0.000134
10, 1024, 9384, 0.000293
11, 2048, 23341, 0.000678
12, 4096, 49533, 0.001532
13, 8192, 136082, 0.003533
14, 16384, 302148, 0.006122
15, 32768, 747838, 0.011892
16, 65536, 1837695, 0.027377
17, 131072, 4260662, 0.060049
18, 262144, 9397026, 0.129325
