Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000004
2, 4, 4, 0.000001
3, 8, 10, 0.000002
4, 16, 21, 0.000003
5, 32, 94, 0.000007
6, 64, 259, 0.000013
7, 128, 624, 0.000027
8, 256, 1334, 0.000058
9, 512, 3643, 0.000135
10, 1024, 8904, 0.000287
11, 2048, 21962, 0.000661
12, 4096, 53105, 0.001548
13, 8192, 120051, 0.003324
14, 16384, 314761, 0.005383
15, 32768, 737852, 0.011803
16, 65536, 1857233, 0.026988
17, 131072, 4240565, 0.059290
18, 262144, 9262827, 0.127081
19, 524288, 22811193, 0.295716
20, 1048576, 55495618, 0.685844
21, 2097152, 137008899, 1.635203
22, 4194304, 316328041, 3.700908
23, 8388608, 886875515, 9.494000
24, 16777216, 1781233094, 20.103378
25, 33554432, 4213819302, 46.579159
26, 67108864, 10916840197, 115.154030
