Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000004
2, 4, 3, 0.000002
3, 8, 7, 0.000003
4, 16, 25, 0.000004
5, 32, 84, 0.000010
6, 64, 228, 0.000014
7, 128, 890, 0.000033
8, 256, 1858, 0.000068
9, 512, 6817, 0.000185
10, 1024, 18762, 0.000436
11, 2048, 41232, 0.000963
12, 4096, 141349, 0.002595
13, 8192, 333756, 0.004336
14, 16384, 975231, 0.010519
15, 32768, 3116244, 0.028929
16, 65536, 10186995, 0.084570
17, 131072, 28160403, 0.223527
18, 262144, 55697099, 0.451480
