Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000004
2, 4, 0, 0.000002
3, 8, 0, 0.000003
4, 16, 0, 0.000002
5, 32, 0, 0.000004
6, 64, 0, 0.000006
7, 128, 0, 0.000021
8, 256, 0, 0.000022
9, 512, 0, 0.000051
10, 1024, 0, 0.000097
11, 2048, 0, 0.000216
12, 4096, 0, 0.000532
13, 8192, 0, 0.001003
14, 16384, 0, 0.002225
15, 32768, 0, 0.004783
16, 65536, 0, 0.007853
17, 131072, 0, 0.014746
18, 262144, 0, 0.030529
