Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000004
2, 4, 4, 0.000002
3, 8, 12, 0.000002
4, 16, 24, 0.000003
5, 32, 65, 0.000006
6, 64, 222, 0.000012
7, 128, 570, 0.000025
8, 256, 1528, 0.000053
9, 512, 4121, 0.000127
10, 1024, 9390, 0.000282
11, 2048, 23667, 0.000670
12, 4096, 55781, 0.001533
13, 8192, 128238, 0.002695
14, 16384, 303935, 0.005089
15, 32768, 816676, 0.012148
16, 65536, 1771354, 0.025909
17, 131072, 3932493, 0.057232
18, 262144, 9731052, 0.128959
19, 524288, 24287242, 0.304336
20, 1048576, 57158459, 0.693948
21, 2097152, 135519415, 1.609459
22, 4194304, 325361617, 3.735969
23, 8388608, 756036857, 8.630263
