Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000002
2, 4, 0, 0.000002
3, 8, 11, 0.000002
4, 16, 62, 0.000004
5, 32, 287, 0.000008
6, 64, 1010, 0.000018
7, 128, 4303, 0.000056
8, 256, 15001, 0.000156
9, 512, 63445, 0.000544
10, 1024, 265030, 0.002503
11, 2048, 1045250, 0.007115
12, 4096, 4182153, 0.026966
13, 8192, 16782258, 0.111694
14, 16384, 66764333, 0.453807
15, 32768, 268921499, 1.859451
16, 65536, 1074388085, 7.454344
17, 131072, 4295831935, 29.794212
18, 262144, 17202998430, 119.299393
