Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000000
2, 4, 3, 0.000000
3, 8, 8, 0.000000
4, 16, 27, 0.000000
5, 32, 80, 0.000000
6, 64, 242, 0.000000
7, 128, 688, 0.000000
8, 256, 2006, 0.000000
9, 512, 6059, 0.000083
10, 1024, 16379, 0.000166
11, 2048, 52985, 0.000665
12, 4096, 133830, 0.001164
13, 8192, 380259, 0.003158
14, 16384, 1188135, 0.010804
15, 32768, 3217253, 0.023021
16, 65536, 9085598, 0.050487
17, 131072, 23395062, 0.118954
18, 262144, 54942645, 0.268276
19, 524288, 116323030, 0.590473
20, 1048576, 238224886, 1.398848
21, 2097152, 520000757, 3.553670
22, 4194304, 1038082914, 7.903038
23, 8388608, 2131781834, 14.244808
24, 16777216, 4926712616, 31.866203
25, 33554432, 8640525397, 62.503246
26, 67108864, 18172050181, 134.870193
27, 134217728, 27776033505, 256.093140
28, 268435456, 57499412653, 562.547913
