Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000000
2, 4, 0, 0.000000
3, 8, 0, 0.000000
4, 16, 0, 0.000000
5, 32, 0, 0.000000
6, 64, 0, 0.000000
7, 128, 0, 0.000000
8, 256, 0, 0.000000
9, 512, 0, 0.000000
10, 1024, 0, 0.000000
11, 2048, 0, 0.000995
12, 4096, 0, 0.000998
13, 8192, 0, 0.000998
14, 16384, 0, 0.003989
15, 32768, 0, 0.004990
16, 65536, 0, 0.007977
17, 131072, 0, 0.016955
18, 262144, 0, 0.034908
19, 524288, 0, 0.081416
20, 1048576, 0, 0.186198
21, 2097152, 0, 0.359937
22, 4194304, 0, 0.750580
23, 8388608, 0, 1.719901
24, 16777216, 0, 4.279895
25, 33554432, 0, 9.353995
26, 67108864, 0, 21.385338
27, 134217728, 0, 49.091133
28, 268435456, 0, 111.331116
