Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000000
2, 4, 4, 0.000000
3, 8, 12, 0.000000
4, 16, 32, 0.000000
5, 32, 80, 0.000000
6, 64, 192, 0.000000
7, 128, 448, 0.000000
8, 256, 1024, 0.000000
9, 512, 2304, 0.000000
10, 1024, 5120, 0.008306
11, 2048, 11264, 0.000000
12, 4096, 24576, 0.000996
13, 8192, 53248, 0.000997
14, 16384, 114688, 0.001994
15, 32768, 245760, 0.007978
16, 65536, 524288, 0.011967
17, 131072, 1114112, 0.018861
18, 262144, 2359296, 0.059919
19, 524288, 4980736, 0.174561
20, 1048576, 10485760, 0.424001
21, 2097152, 22020096, 1.040008
22, 4194304, 46137344, 2.210512
23, 8388608, 96468992, 4.803946
24, 16777216, 201326592, 10.679721
25, 33554432, 419430400, 24.712421
26, 67108864, 872415232, 56.124458
27, 134217728, 1811939328, 127.766838
28, 268435456, 3758096384, 301.168243
