Iteration, Array Size, Swaps, Time
1, 2, 0, 0.000000
2, 4, 3, 0.000000
3, 8, 13, 0.000000
4, 16, 61, 0.000000
5, 32, 274, 0.000000
6, 64, 1009, 0.000000
7, 128, 4019, 0.000000
8, 256, 16303, 0.000166
9, 512, 65754, 0.000416
10, 1024, 259973, 0.001496
11, 2048, 1061274, 0.005153
12, 4096, 4225194, 0.020196
13, 8192, 17019426, 0.085481
14, 16384, 68985891, 0.265764
15, 32768, 279737818, 0.970765
16, 65536, 1202957185, 4.473571
17, 131072, 4077629127, 15.784415
18, 262144, 10477889054, 43.450542
