Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000000
2, 4, 6, 0.000000
3, 8, 16, 0.000000
4, 16, 22, 0.000000
5, 32, 58, 0.000000
6, 64, 146, 0.000000
7, 128, 398, 0.000000
8, 256, 976, 0.000000
9, 512, 1790, 0.000000
10, 1024, 4430, 0.000000
11, 2048, 9412, 0.000000
12, 4096, 16852, 0.000000
13, 8192, 35204, 0.000999
14, 16384, 112712, 0.000998
15, 32768, 208656, 0.003991
16, 65536, 408932, 0.008975
17, 131072, 757078, 0.017952
18, 262144, 1888014, 0.038886
19, 524288, 3693610, 0.090758
20, 1048576, 7305618, 0.170040
21, 2097152, 16167334, 0.365981
22, 4194304, 39527602, 0.823789
23, 8388608, 75859586, 1.779895
24, 16777216, 163208848, 3.784311
25, 33554432, 291530194, 8.559948
26, 67108864, 755326532, 20.730062
27, 134217728, 1477428722, 45.034256
28, 268435456, 2650507728, 100.060249
