Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 600, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 1400, 0.000000, 7, 0.000000, 0.0000000000, 0.0000000000
8, 3000, 0.000000, 15, 0.000000, 0.0000000000, 0.0000000000
16, 6200, 0.000994, 31, 0.000005, 0.0000000000, 0.0000701105
32, 12600, 0.006980, 63, 0.000035, 0.0000000000, 0.0003647233
64, 25400, 0.001994, 127, 0.000010, 0.0000000000, 0.0000992003
128, 51000, 0.006980, 255, 0.000035, 0.0000000000, 0.0001832548
256, 102200, 0.016977, 511, 0.000085, 0.0000000000, 0.0003277292
512, 204600, 0.136687, 1023, 0.000683, 0.0000000000, 0.0046621479
1024, 409400, 0.137180, 2047, 0.000686, 0.0000000000, 0.0021282317
2048, 819000, 0.283848, 4095, 0.001419, 0.0000000000, 0.0030058971
4096, 1638200, 0.667947, 8191, 0.003340, 0.0000000000, 0.0057697566
8192, 3276600, 0.836997, 16383, 0.004185, 0.0000000000, 0.0088837465
16384, 6553400, 0.839327, 32767, 0.004197, 0.0000000000, 0.0026730950
32768, 13107000, 1.552538, 65535, 0.007763, 0.0000000000, 0.0014904181
65536, 26214200, 6.640019, 131071, 0.033200, 0.0000000000, 0.0164307730
131072, 52428600, 11.313363, 262143, 0.056567, 0.0000000000, 0.0269903426
262144, 104857400, 17.969608, 524287, 0.089848, 0.0000000000, 0.0147211850
524288, 209715000, 53.568825, 1048575, 0.267844, 0.0000000000, 0.1176027582
