Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 100
4, 0.0000000000, 0.0000000000, 200
8, 0.0000000000, 0.0000000000, 400
16, 0.0060190000, 0.0001203800, 800
32, 0.0000000000, 0.0000000000, 1600
64, 0.0000000000, 0.0000000000, 3200
128, 0.0000000000, 0.0000000000, 6400
256, 0.0092860004, 0.0001857200, 12800
512, 0.0159709994, 0.0003194200, 25600
1024, 0.0209439993, 0.0004188800, 51200
2048, 0.0369030014, 0.0007380600, 102400
4096, 0.0997349992, 0.0019946999, 204800
8192, 0.1584669948, 0.0031693398, 409600
16384, 0.3097420037, 0.0061948402, 819200
32768, 0.5361379981, 0.0107227601, 1638400
65536, 1.0295579433, 0.0205911584, 3276800
131072, 2.0521149635, 0.0410422981, 6553600
262144, 4.1398110390, 0.0827962235, 13107200
524288, 8.3100633621, 0.1662012637, 26214400
