Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 100
4, 0.0000000000, 0.0000000000, 200
8, 0.0000000000, 0.0000000000, 400
16, 0.0000000000, 0.0000000000, 800
32, 0.0000000000, 0.0000000000, 1600
64, 0.0000000000, 0.0000000000, 3200
128, 0.0000000000, 0.0000000000, 6400
256, 0.0097709997, 0.0001954200, 12800
512, 0.0000000000, 0.0000000000, 25600
1024, 0.0202530008, 0.0004050600, 51200
2048, 0.0299709998, 0.0005994200, 102400
4096, 0.0643889979, 0.0012877800, 204800
8192, 0.0976310000, 0.0019526200, 409600
16384, 0.2139749974, 0.0042794999, 819200
32768, 0.4364950061, 0.0087299002, 1638400
65536, 0.8798670173, 0.0175973400, 3276800
131072, 1.8720920086, 0.0374418385, 6553600
262144, 3.8330988884, 0.0766619742, 13107200
524288, 7.6697211266, 0.1533944160, 26214400
