Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 10
4, 0.0000000000, 0.0000000000, 20
8, 0.0000000000, 0.0000000000, 40
16, 0.0000000000, 0.0000000000, 80
32, 0.0000000000, 0.0000000000, 160
64, 0.0000000000, 0.0000000000, 320
128, 0.0000000000, 0.0000000000, 640
256, 0.0000000000, 0.0000000000, 1280
512, 0.0000000000, 0.0000000000, 2560
1024, 0.0000000000, 0.0000000000, 5120
2048, 0.0098820003, 0.0019764001, 10240
4096, 0.0040040002, 0.0008008000, 20480
8192, 0.0060290000, 0.0012058000, 40960
16384, 0.0200210009, 0.0040042000, 81920
32768, 0.0299960002, 0.0059992000, 163840
65536, 0.0498070009, 0.0099614002, 327680
131072, 0.1063269973, 0.0212653987, 655360
262144, 0.2749750018, 0.0549950004, 1310720
524288, 0.4798699915, 0.0959739983, 2621440
