Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 300, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 700, 0.000000, 7, 0.000000, 0.0000000000, 0.0000000000
8, 1500, 0.000000, 15, 0.000000, 0.0000000000, 0.0000000000
16, 3100, 0.000000, 31, 0.000000, 0.0000000000, 0.0000000000
32, 6300, 0.001554, 63, 0.000016, 0.0000000000, 0.0001533200
64, 12700, 0.003508, 127, 0.000035, 0.0000000000, 0.0003490416
128, 25500, 0.016206, 255, 0.000162, 0.0000000000, 0.0011563534
256, 51100, 0.001056, 511, 0.000011, 0.0000000000, 0.0001026727
512, 102300, 0.004515, 1023, 0.000045, 0.0000000000, 0.0004482329
1024, 204700, 0.021106, 2047, 0.000211, 0.0000000000, 0.0010103575
2048, 409500, 0.021060, 4095, 0.000211, 0.0000000000, 0.0012591599
4096, 819100, 0.049876, 8191, 0.000499, 0.0000000000, 0.0015883383
8192, 1638300, 0.135244, 16383, 0.001352, 0.0000000000, 0.0027073750
16384, 3276700, 0.288947, 32767, 0.002889, 0.0000000000, 0.0035760824
32768, 6553500, 0.693154, 65535, 0.006932, 0.0000000000, 0.0039111307
65536, 13107100, 1.483558, 131071, 0.014836, 0.0000000000, 0.0043157747
131072, 26214300, 3.400003, 262143, 0.034000, 0.0000000000, 0.0046151372
262144, 52428700, 7.675797, 524287, 0.076758, 0.0000000000, 0.0066296778
524288, 104857500, 15.788853, 1048575, 0.157889, 0.0000000000, 0.0107333631
