Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 20
4, 0.0000000000, 0.0000000000, 40
8, 0.0000000000, 0.0000000000, 80
16, 0.0000000000, 0.0000000000, 160
32, 0.0000000000, 0.0000000000, 320
64, 0.0000000000, 0.0000000000, 640
128, 0.0010010001, 0.0001001000, 1280
256, 0.0000000000, 0.0000000000, 2560
512, 0.0009900000, 0.0000990000, 5120
1024, 0.0029930000, 0.0002993000, 10240
2048, 0.0049859998, 0.0004986000, 20480
4096, 0.0159850009, 0.0015985001, 40960
8192, 0.0189500004, 0.0018950000, 81920
16384, 0.0334880017, 0.0033488001, 163840
32768, 0.0502360016, 0.0050236001, 327680
65536, 0.1047419980, 0.0104741994, 655360
131072, 0.2256679982, 0.0225667991, 1310720
262144, 0.4698640108, 0.0469864011, 2621440
524288, 0.9865400195, 0.0986540020, 5242880
