Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 100
4, 0.0000000000, 0.0000000000, 200
8, 0.0009970000, 0.0000199400, 400
16, 0.0000000000, 0.0000000000, 800
32, 0.0009960000, 0.0000199200, 1600
64, 0.0009970000, 0.0000199400, 3200
128, 0.0019950001, 0.0000399000, 6400
256, 0.0039909999, 0.0000798200, 12800
512, 0.0119700003, 0.0002394000, 25600
1024, 0.0319139995, 0.0006382800, 51200
2048, 0.0498629995, 0.0009972600, 102400
4096, 0.1082210019, 0.0021644200, 204800
8192, 0.1978950053, 0.0039579002, 409600
16384, 0.3097119927, 0.0061942399, 819200
32768, 0.5339859724, 0.0106797190, 1638400
65536, 1.0337510109, 0.0206750203, 3276800
131072, 2.0493309498, 0.0409866199, 6553600
262144, 4.1437869072, 0.0828757361, 13107200
524288, 8.2946062088, 0.1658921242, 26214400
