Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 75, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 141, 0.000000, 6, 0.000000, 0.9329523032, 0.0000000000
8, 275, 0.000000, 11, 0.000000, 1.3856406461, 0.0000000000
16, 537, 0.000000, 21, 0.000000, 1.6277591960, 0.0000000000
32, 1061, 0.000000, 42, 0.000000, 2.3677837739, 0.0000000000
64, 2121, 0.000000, 85, 0.000000, 3.3428131865, 0.0000000000
128, 4249, 0.000000, 170, 0.000000, 3.7574459411, 0.0000000000
256, 8547, 0.000000, 342, 0.000000, 6.2757947704, 0.0000000000
512, 17101, 0.003993, 684, 0.000160, 10.1211857013, 0.0006108442
1024, 34315, 0.005990, 1373, 0.000240, 10.0239712689, 0.0005117355
2048, 68131, 0.006982, 2725, 0.000279, 15.8525203044, 0.0004478444
4096, 136491, 0.018938, 5460, 0.000758, 26.2524360774, 0.0004257505
8192, 272923, 0.082414, 10917, 0.003297, 26.8535584234, 0.0039692118
16384, 546507, 0.094786, 21860, 0.003791, 52.6813211679, 0.0012607070
32768, 1092279, 0.181405, 43691, 0.007256, 66.7938200734, 0.0019681587
65536, 2184415, 0.451800, 87377, 0.018072, 91.4627793149, 0.0076447559
131072, 4369971, 0.810634, 174799, 0.032425, 142.3774364146, 0.0051252239
262144, 8749493, 1.661479, 349980, 0.066459, 236.9789053903, 0.0094875240
524288, 17553751, 3.454397, 702150, 0.138176, 278.5603676046, 0.0133730220
