Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 15, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 29, 0.000000, 6, 0.000000, 0.9797958971, 0.0000000000
8, 55, 0.000000, 11, 0.000000, 1.2649110641, 0.0000000000
16, 103, 0.000000, 21, 0.000000, 1.4966629547, 0.0000000000
32, 211, 0.000000, 42, 0.000000, 1.6000000000, 0.0000000000
64, 425, 0.000000, 85, 0.000000, 1.2649110641, 0.0000000000
128, 853, 0.000000, 171, 0.000000, 4.0792156109, 0.0000000000
256, 1719, 0.000000, 344, 0.000000, 6.7646138101, 0.0000000000
512, 3431, 0.000000, 686, 0.000000, 5.1536394907, 0.0000000000
1024, 6825, 0.000000, 1365, 0.000000, 18.3738945246, 0.0000000000
2048, 13639, 0.000997, 2728, 0.000199, 25.3487672284, 0.0003988000
4096, 27309, 0.002959, 5462, 0.000592, 29.7885884191, 0.0004833721
8192, 54557, 0.005985, 10911, 0.001197, 25.1841219819, 0.0003990013
16384, 109409, 0.015995, 21882, 0.003199, 41.0190199785, 0.0003948104
32768, 217971, 0.032910, 43594, 0.006582, 68.9765177434, 0.0013476200
65536, 437089, 0.063822, 87418, 0.012764, 103.5266149355, 0.0007473706
131072, 874307, 0.147597, 174861, 0.029519, 132.9926313748, 0.0013573225
262144, 1750107, 0.381488, 350021, 0.076298, 126.9544800312, 0.0098645650
524288, 3511059, 0.786363, 702212, 0.157273, 263.2127656479, 0.0202485831
