Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 10
4, 0.0000000000, 0.0000000000, 20
8, 0.0000000000, 0.0000000000, 40
16, 0.0000000000, 0.0000000000, 80
32, 0.0000000000, 0.0000000000, 160
64, 0.0000000000, 0.0000000000, 320
128, 0.0000000000, 0.0000000000, 640
256, 0.0000000000, 0.0000000000, 1280
512, 0.0000000000, 0.0000000000, 2560
1024, 0.0009990000, 0.0001998000, 5120
2048, 0.0009980000, 0.0001996000, 10240
4096, 0.0019940000, 0.0003988000, 20480
8192, 0.0039849998, 0.0007970000, 40960
16384, 0.0049859998, 0.0009971999, 81920
32768, 0.0139570003, 0.0027914001, 163840
65536, 0.0209430009, 0.0041886000, 327680
131072, 0.0428860001, 0.0085771997, 655360
262144, 0.0862800032, 0.0172560010, 1310720
524288, 0.1606740057, 0.0321348011, 2621440
