Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 10
4, 0.0000000000, 0.0000000000, 20
8, 0.0000000000, 0.0000000000, 40
16, 0.0000000000, 0.0000000000, 80
32, 0.0000000000, 0.0000000000, 160
64, 0.0000000000, 0.0000000000, 320
128, 0.0000000000, 0.0000000000, 640
256, 0.0000000000, 0.0000000000, 1280
512, 0.0000000000, 0.0000000000, 2560
1024, 0.0000000000, 0.0000000000, 5120
2048, 0.0080329999, 0.0016066000, 10240
4096, 0.0000000000, 0.0000000000, 20480
8192, 0.0000000000, 0.0000000000, 40960
16384, 0.0081799999, 0.0016360000, 81920
32768, 0.0099750003, 0.0019950001, 163840
65536, 0.0209790003, 0.0041958001, 327680
131072, 0.0339130014, 0.0067826002, 655360
262144, 0.0838980004, 0.0167795997, 1310720
524288, 0.1691810042, 0.0338362008, 2621440
