Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 20
4, 0.0000000000, 0.0000000000, 40
8, 0.0000000000, 0.0000000000, 80
16, 0.0000000000, 0.0000000000, 160
32, 0.0000000000, 0.0000000000, 320
64, 0.0000000000, 0.0000000000, 640
128, 0.0000000000, 0.0000000000, 1280
256, 0.0000000000, 0.0000000000, 2560
512, 0.0097679999, 0.0009768000, 5120
1024, 0.0000000000, 0.0000000000, 10240
2048, 0.0000000000, 0.0000000000, 20480
4096, 0.0000000000, 0.0000000000, 40960
8192, 0.0157079995, 0.0015708000, 81920
16384, 0.0289210007, 0.0028921000, 163840
32768, 0.0378980003, 0.0037898000, 327680
65536, 0.0618340001, 0.0061833998, 655360
131072, 0.1465640068, 0.0146564003, 1310720
262144, 0.2389830053, 0.0238982998, 2621440
524288, 0.4508450031, 0.0450844988, 5242880
