Numbers per File, Time, Time Per File, Output Size
2, 0.0020220000, 0.0000101100, 400
4, 0.0000000000, 0.0000000000, 800
8, 0.0000000000, 0.0000000000, 1600
16, 0.0144339995, 0.0000721700, 3200
32, 0.0209430009, 0.0001047150, 6400
64, 0.0299180001, 0.0001495900, 12800
128, 0.0568480007, 0.0002842400, 25600
256, 0.1398179978, 0.0006990900, 51200
512, 0.2190569937, 0.0010952849, 102400
1024, 0.4347670078, 0.0021738349, 204800
2048, 0.6315569878, 0.0031577849, 409600
4096, 1.1035310030, 0.0055176551, 819200
8192, 2.0818309784, 0.0104091549, 1638400
16384, 4.0388579369, 0.0201942902, 3276800
32768, 8.0042371750, 0.0400211848, 6553600
65536, 15.6999616623, 0.0784998089, 13107200
131072, 31.0879840851, 0.1554399133, 26214400
262144, 61.4611358643, 0.3073056936, 52428800
524288, 123.5321044922, 0.6176605225, 104857600
