Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 15, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 35, 0.000000, 7, 0.000000, 0.0000000000, 0.0000000000
8, 75, 0.000000, 15, 0.000000, 0.0000000000, 0.0000000000
16, 155, 0.000000, 31, 0.000000, 0.0000000000, 0.0000000000
32, 315, 0.000000, 63, 0.000000, 0.0000000000, 0.0000000000
64, 635, 0.000000, 127, 0.000000, 0.0000000000, 0.0000000000
128, 1275, 0.000000, 255, 0.000000, 0.0000000000, 0.0000000000
256, 2555, 0.000000, 511, 0.000000, 0.0000000000, 0.0000000000
512, 5115, 0.000998, 1023, 0.000200, 0.0000000000, 0.0003992000
1024, 10235, 0.000997, 2047, 0.000199, 0.0000000000, 0.0003988000
2048, 20475, 0.002991, 4095, 0.000598, 0.0000000000, 0.0007976000
4096, 40955, 0.004989, 8191, 0.000998, 0.0000000000, 0.0000004000
8192, 81915, 0.009969, 16383, 0.001994, 0.0000000000, 0.0006305589
16384, 163835, 0.020974, 32767, 0.004195, 0.0000000000, 0.0014610579
32768, 327675, 0.031951, 65535, 0.006390, 0.0000000000, 0.0004825940
65536, 655355, 0.075818, 131071, 0.015164, 0.0000000000, 0.0009764391
131072, 1310715, 0.154584, 262143, 0.030917, 0.0000000000, 0.0010844214
262144, 2621435, 0.558194, 524287, 0.111639, 0.0000000000, 0.0390369763
524288, 5242875, 0.776541, 1048575, 0.155308, 0.0000000000, 0.0291340011
