Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
4, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
8, 0, 0.000999, 0, 0.000040, 0.0000000000, 0.0001957632
16, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
32, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
64, 0, 0.002016, 0, 0.000081, 0.0000000000, 0.0003950537
128, 0, 0.010203, 0, 0.000408, 0.0000000000, 0.0019993715
256, 0, 0.004030, 0, 0.000161, 0.0000000000, 0.0005466559
512, 0, 0.008510, 0, 0.000340, 0.0000000000, 0.0011565684
1024, 0, 0.013466, 0, 0.000539, 0.0000000000, 0.0020417101
2048, 0, 0.054806, 0, 0.002192, 0.0000000000, 0.0030289549
4096, 0, 0.100695, 0, 0.004028, 0.0000000000, 0.0026786959
8192, 0, 0.188148, 0, 0.007526, 0.0000000000, 0.0033684862
16384, 0, 0.376921, 0, 0.015077, 0.0000000000, 0.0038615913
32768, 0, 0.750952, 0, 0.030038, 0.0000000000, 0.0064516887
65536, 0, 1.525983, 0, 0.061039, 0.0000000000, 0.0055527536
131072, 0, 2.910758, 0, 0.116430, 0.0000000000, 0.0092713522
262144, 0, 5.841281, 0, 0.233651, 0.0000000000, 0.0151084712
524288, 0, 11.782869, 0, 0.471315, 0.0000000000, 0.0231401786
