Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 300, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 568, 0.000997, 6, 0.000010, 0.9474175426, 0.0000992002
8, 1102, 0.001996, 11, 0.000020, 1.2488394613, 0.0001985995
16, 2140, 0.000000, 21, 0.000000, 1.7204650534, 0.0000000000
32, 4262, 0.000997, 43, 0.000010, 2.3271441726, 0.0000992002
64, 8528, 0.000996, 85, 0.000010, 3.7949440049, 0.0000991008
128, 17156, 0.001996, 172, 0.000020, 4.5614032928, 0.0001397200
256, 34130, 0.004985, 341, 0.000050, 7.3013697345, 0.0002172912
512, 68260, 0.047874, 683, 0.000479, 9.9075728612, 0.0038717070
1024, 136698, 0.020915, 1367, 0.000209, 11.5082405258, 0.0004057471
2048, 273202, 0.037959, 2732, 0.000380, 18.5978385841, 0.0009755153
4096, 545920, 0.071892, 5459, 0.000719, 30.0499584026, 0.0005662125
8192, 1091854, 0.165489, 10919, 0.001655, 39.4500747781, 0.0008936219
16384, 2184566, 0.336011, 21846, 0.003360, 57.9075504576, 0.0010616841
32768, 4369188, 0.737941, 43692, 0.007379, 71.7987855050, 0.0019559955
65536, 8737486, 1.622162, 87375, 0.016222, 93.9107043952, 0.0025158298
131072, 17479920, 4.125493, 174799, 0.041255, 149.5073242353, 0.0081388241
262144, 34994142, 8.898443, 349941, 0.088984, 221.3822567416, 0.0072856942
524288, 70221334, 16.152082, 702213, 0.161521, 287.8023008942, 0.0347962327
