Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
4, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
8, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
16, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
32, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
64, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
128, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
256, 0, 0.001015, 0, 0.000203, 0.0000000000, 0.0004060000
512, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
1024, 0, 0.004070, 0, 0.000814, 0.0000000000, 0.0009969586
2048, 0, 0.005027, 0, 0.001005, 0.0000000000, 0.0012712371
4096, 0, 0.002014, 0, 0.000403, 0.0000000000, 0.0008056000
8192, 0, 0.045724, 0, 0.009145, 0.0000000000, 0.0018089072
16384, 0, 0.076463, 0, 0.015293, 0.0000000000, 0.0024450800
32768, 0, 0.158943, 0, 0.031789, 0.0000000000, 0.0035332228
65536, 0, 0.281644, 0, 0.056329, 0.0000000000, 0.0066344024
131072, 0, 0.598090, 0, 0.119618, 0.0000000000, 0.0021399564
262144, 0, 1.289094, 0, 0.257819, 0.0000000000, 0.0251258688
524288, 0, 2.483933, 0, 0.496787, 0.0000000000, 0.0154271296
