Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 30, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 60, 0.000000, 6, 0.000000, 1.0000000000, 0.0000000000
8, 108, 0.000000, 11, 0.000000, 1.0770329614, 0.0000000000
16, 222, 0.000998, 22, 0.000100, 1.8330302780, 0.0002994000
32, 436, 0.000000, 44, 0.000000, 1.5620499352, 0.0000000000
64, 860, 0.000000, 86, 0.000000, 2.2360679775, 0.0000000000
128, 1710, 0.000000, 171, 0.000000, 5.7271284253, 0.0000000000
256, 3412, 0.000999, 341, 0.000100, 5.5461698495, 0.0002997000
512, 6806, 0.000000, 681, 0.000000, 10.2293694820, 0.0000000000
1024, 13670, 0.001996, 1367, 0.000200, 13.2060592154, 0.0003992000
2048, 27316, 0.000000, 2732, 0.000000, 19.5151223414, 0.0000000000
4096, 54668, 0.007982, 5467, 0.000798, 21.6601015695, 0.0005989005
8192, 109470, 0.014916, 10947, 0.001492, 27.8280434095, 0.0004947487
16384, 218668, 0.030460, 21867, 0.003046, 19.5437969699, 0.0006481532
32768, 436762, 0.074984, 43676, 0.007498, 38.6905673259, 0.0025786511
65536, 873946, 0.138585, 87395, 0.013858, 135.3862622277, 0.0015770926
131072, 1748382, 0.314683, 174838, 0.031468, 127.0565228550, 0.0036353534
262144, 3499292, 0.714615, 349929, 0.071461, 201.4337608247, 0.0053158103
524288, 7022266, 1.578403, 702227, 0.157840, 217.7811745767, 0.0330522007
