Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 400
4, 0.0075630001, 0.0000378150, 800
8, 0.0050079999, 0.0000250400, 1600
16, 0.0069180001, 0.0000345900, 3200
32, 0.0159569997, 0.0000797850, 6400
64, 0.0269269999, 0.0001346350, 12800
128, 0.0428860001, 0.0002144300, 25600
256, 0.0767920017, 0.0003839600, 51200
512, 0.2338629961, 0.0011693150, 102400
1024, 0.3554089963, 0.0017770450, 204800
2048, 0.5460029840, 0.0027300150, 409600
4096, 1.0442500114, 0.0052212500, 819200
8192, 2.0197000504, 0.0100985002, 1638400
16384, 3.9988269806, 0.0199941341, 3276800
32768, 8.0237808228, 0.0401189029, 6553600
65536, 15.5897941589, 0.0779489726, 13107200
131072, 30.9834613800, 0.1549172997, 26214400
262144, 61.6700248718, 0.3083501160, 52428800
524288, 123.8000259399, 0.6190001369, 104857600
