Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
4, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
8, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
16, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
32, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
64, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
128, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
256, 0, 0.002012, 0, 0.000201, 0.0000000000, 0.0006036000
512, 0, 0.003037, 0, 0.000304, 0.0000000000, 0.0006477941
1024, 0, 0.007017, 0, 0.000702, 0.0000000000, 0.0021051000
2048, 0, 0.013037, 0, 0.001304, 0.0000000000, 0.0023763099
4096, 0, 0.057132, 0, 0.005713, 0.0000000000, 0.0041105299
8192, 0, 0.074911, 0, 0.007491, 0.0000000000, 0.0042041567
16384, 0, 0.127293, 0, 0.012729, 0.0000000000, 0.0046224616
32768, 0, 0.276563, 0, 0.027656, 0.0000000000, 0.0049783505
65536, 0, 0.612010, 0, 0.061201, 0.0000000000, 0.0075171249
131072, 0, 1.178756, 0, 0.117876, 0.0000000000, 0.0114470278
262144, 0, 2.268839, 0, 0.226884, 0.0000000000, 0.0091781151
524288, 0, 4.669043, 0, 0.466904, 0.0000000000, 0.0158302775
