Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 200
4, 0.0000000000, 0.0000000000, 400
8, 0.0000000000, 0.0000000000, 800
16, 0.0000000000, 0.0000000000, 1600
32, 0.0000000000, 0.0000000000, 3200
64, 0.0000000000, 0.0000000000, 6400
128, 0.0000000000, 0.0000000000, 12800
256, 0.0102439998, 0.0001024400, 25600
512, 0.0195940007, 0.0001959400, 51200
1024, 0.0542160012, 0.0005421600, 102400
2048, 0.0757400021, 0.0007574000, 204800
4096, 0.2241239995, 0.0022412399, 409600
8192, 0.3999019861, 0.0039990200, 819200
16384, 0.7503759861, 0.0075037600, 1638400
32768, 1.6588840485, 0.0165888406, 3276800
65536, 2.9107749462, 0.0291077495, 6553600
131072, 5.7740478516, 0.0577404797, 13107200
262144, 14.2570018768, 0.1425700188, 26214400
524288, 36.9796180725, 0.3697961867, 52428800
