Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 150, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 350, 0.000000, 7, 0.000000, 0.0000000000, 0.0000000000
8, 750, 0.000000, 15, 0.000000, 0.0000000000, 0.0000000000
16, 1550, 0.000997, 31, 0.000020, 0.0000000000, 0.0001395800
32, 3150, 0.001997, 63, 0.000040, 0.0000000000, 0.0001956653
64, 6350, 0.000997, 127, 0.000020, 0.0000000000, 0.0001395800
128, 12750, 0.000000, 255, 0.000000, 0.0000000000, 0.0000000000
256, 25550, 0.002994, 511, 0.000060, 0.0000000000, 0.0002370122
512, 51150, 0.004954, 1023, 0.000099, 0.0000000000, 0.0003579525
1024, 102350, 0.011941, 2047, 0.000239, 0.0000000000, 0.0004250040
2048, 204750, 0.024431, 4095, 0.000489, 0.0000000000, 0.0004930600
4096, 409550, 0.044833, 8191, 0.000897, 0.0000000000, 0.0003594909
8192, 819150, 0.078797, 16383, 0.001576, 0.0000000000, 0.0005672860
16384, 1638350, 0.168720, 32767, 0.003374, 0.0000000000, 0.0005600110
32768, 3276750, 0.394089, 65535, 0.007882, 0.0000000000, 0.0014510478
65536, 6553550, 0.904157, 131071, 0.018083, 0.0000000000, 0.0042311460
131072, 13107150, 1.897978, 262143, 0.037960, 0.0000000000, 0.0064708763
262144, 26214350, 4.057021, 524287, 0.081140, 0.0000000000, 0.0126257262
524288, 52428750, 14.117856, 1048575, 0.282357, 0.0000000000, 0.1285641568
