Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
4, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
8, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
16, 0, 0.011055, 0, 0.000111, 0.0000000000, 0.0007993119
32, 0, 0.010034, 0, 0.000100, 0.0000000000, 0.0008206447
64, 0, 0.003005, 0, 0.000030, 0.0000000000, 0.0002221660
128, 0, 0.006049, 0, 0.000060, 0.0000000000, 0.0004203158
256, 0, 0.016069, 0, 0.000161, 0.0000000000, 0.0008479684
512, 0, 0.041733, 0, 0.000417, 0.0000000000, 0.0012900536
1024, 0, 0.104513, 0, 0.001045, 0.0000000000, 0.0021330333
2048, 0, 0.158546, 0, 0.001585, 0.0000000000, 0.0027104939
4096, 0, 0.334182, 0, 0.003342, 0.0000000000, 0.0030176080
8192, 0, 0.698203, 0, 0.006982, 0.0000000000, 0.0032662285
16384, 0, 1.476821, 0, 0.014768, 0.0000000000, 0.0037891571
32768, 0, 2.930074, 0, 0.029301, 0.0000000000, 0.0061553403
65536, 0, 5.848168, 0, 0.058482, 0.0000000000, 0.0073932203
131072, 0, 11.836682, 0, 0.118367, 0.0000000000, 0.0109697972
262144, 0, 23.599823, 0, 0.235998, 0.0000000000, 0.0169043694
524288, 0, 48.169113, 0, 0.481691, 0.0000000000, 0.0381478584
