Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 75, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 175, 0.000000, 7, 0.000000, 0.0000000000, 0.0000000000
8, 375, 0.000995, 15, 0.000040, 0.0000000000, 0.0001949794
16, 775, 0.000000, 31, 0.000000, 0.0000000000, 0.0000000000
32, 1575, 0.000000, 63, 0.000000, 0.0000000000, 0.0000000000
64, 3175, 0.000000, 127, 0.000000, 0.0000000000, 0.0000000000
128, 6375, 0.000000, 255, 0.000000, 0.0000000000, 0.0000000000
256, 12775, 0.001960, 511, 0.000078, 0.0000000000, 0.0002659012
512, 25575, 0.002991, 1023, 0.000120, 0.0000000000, 0.0003239868
1024, 51175, 0.004911, 2047, 0.000196, 0.0000000000, 0.0003929695
2048, 102375, 0.008902, 4095, 0.000356, 0.0000000000, 0.0004748539
4096, 204775, 0.014975, 8191, 0.000599, 0.0000000000, 0.0004891721
8192, 409575, 0.033974, 16383, 0.001359, 0.0000000000, 0.0004764781
16384, 819175, 0.079776, 32767, 0.003191, 0.0000000000, 0.0004919995
32768, 1638375, 0.166534, 65535, 0.006661, 0.0000000000, 0.0006031535
65536, 3276775, 0.354145, 131071, 0.014166, 0.0000000000, 0.0011977103
131072, 6553575, 0.737057, 262143, 0.029482, 0.0000000000, 0.0015042325
262144, 13107175, 1.635519, 524287, 0.065421, 0.0000000000, 0.0053487188
524288, 26214375, 3.343310, 1048575, 0.133732, 0.0000000000, 0.0034349071
