Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 50
4, 0.0000000000, 0.0000000000, 100
8, 0.0000000000, 0.0000000000, 200
16, 0.0000000000, 0.0000000000, 400
32, 0.0009980000, 0.0000399200, 800
64, 0.0006690000, 0.0000267600, 1600
128, 0.0000000000, 0.0000000000, 3200
256, 0.0000000000, 0.0000000000, 6400
512, 0.0000000000, 0.0000000000, 12800
1024, 0.0000000000, 0.0000000000, 25600
2048, 0.0291169994, 0.0011646800, 51200
4096, 0.0398950018, 0.0015958000, 102400
8192, 0.0578849986, 0.0023153999, 204800
16384, 0.1276350021, 0.0051054000, 409600
32768, 0.1971790045, 0.0078871604, 819200
65536, 0.3531830013, 0.0141273197, 1638400
131072, 0.5998820066, 0.0239952803, 3276800
262144, 1.1720809937, 0.0468832403, 6553600
524288, 2.3774590492, 0.0950983614, 13107200
