Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 200
4, 0.0009970000, 0.0000099700, 400
8, 0.0009980000, 0.0000099800, 800
16, 0.0029950000, 0.0000299500, 1600
32, 0.0045719999, 0.0000457200, 3200
64, 0.0093029998, 0.0000930300, 6400
128, 0.0229419991, 0.0002294200, 12800
256, 0.0299180001, 0.0002991800, 25600
512, 0.0538549982, 0.0005385500, 51200
1024, 0.1002179980, 0.0010021799, 102400
2048, 0.1879139990, 0.0018791400, 204800
4096, 0.3082689941, 0.0030826898, 409600
8192, 0.5058749914, 0.0050587500, 819200
16384, 0.9998059869, 0.0099980598, 1638400
32768, 1.9727799892, 0.0197278000, 3276800
65536, 4.0559611320, 0.0405596122, 6553600
131072, 7.8812241554, 0.0788122416, 13107200
262144, 15.6998386383, 0.1569983810, 26214400
524288, 31.2782497406, 0.3127824962, 52428800
