Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 400
4, 0.0000000000, 0.0000000000, 800
8, 0.0051679998, 0.0000258400, 1600
16, 0.0019940000, 0.0000099700, 3200
32, 0.0060250000, 0.0000301250, 6400
64, 0.0089360001, 0.0000446800, 12800
128, 0.0169329997, 0.0000846650, 25600
256, 0.0378759988, 0.0001893800, 51200
512, 0.0633800030, 0.0003169000, 102400
1024, 0.1311410069, 0.0006557051, 204800
2048, 0.2644920051, 0.0013224600, 409600
4096, 0.5586540103, 0.0027932702, 819200
8192, 1.2114139795, 0.0060570701, 1638400
16384, 2.7800309658, 0.0139001552, 3276800
