Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 0, 0.007005, 0, 0.000035, 0.0000000000, 0.0004940884
4, 0, 0.000000, 0, 0.000000, 0.0000000000, 0.0000000000
8, 0, 0.004542, 0, 0.000023, 0.0000000000, 0.0002847049
16, 0, 0.012593, 0, 0.000063, 0.0000000000, 0.0005622354
32, 0, 0.000016, 0, 0.000000, 0.0000000000, 0.0000011285
64, 0, 0.012435, 0, 0.000062, 0.0000000000, 0.0006428446
128, 0, 0.014087, 0, 0.000070, 0.0000000000, 0.0005643620
256, 0, 0.084411, 0, 0.000422, 0.0000000000, 0.0015669617
512, 0, 0.098958, 0, 0.000495, 0.0000000000, 0.0016168463
1024, 0, 0.182138, 0, 0.000911, 0.0000000000, 0.0020759876
2048, 0, 0.309387, 0, 0.001547, 0.0000000000, 0.0022702172
4096, 0, 0.766792, 0, 0.003834, 0.0000000000, 0.0035304218
8192, 0, 1.465553, 0, 0.007328, 0.0000000000, 0.0033239610
16384, 0, 2.923212, 0, 0.014616, 0.0000000000, 0.0044431887
32768, 0, 5.843902, 0, 0.029220, 0.0000000000, 0.0058577617
65536, 0, 14.095277, 0, 0.070476, 0.0000000000, 0.0210061698
131072, 0, 25.526283, 0, 0.127631, 0.0000000000, 0.0243832761
262144, 0, 48.453331, 0, 0.242267, 0.0000000000, 0.0158179130
524288, 0, 96.458862, 0, 0.482294, 0.0000000000, 0.0211936930
