Numbers per File, Recursive Calls, Time, Recursive Calls Average, Time Average, Calls Standard Deviation, Timer Standard Deviation
2, 600, 0.000000, 3, 0.000000, 0.0000000000, 0.0000000000
4, 1136, 0.000996, 6, 0.000005, 0.9474175426, 0.0000702515
8, 2194, 0.000997, 11, 0.000005, 1.2566224572, 0.0000703221
16, 4336, 0.000999, 22, 0.000005, 1.6424372134, 0.0000704631
32, 8656, 0.000997, 43, 0.000005, 2.6536013265, 0.0000703221
64, 17054, 0.001960, 85, 0.000010, 3.3803993847, 0.0000975219
128, 34196, 0.006953, 171, 0.000035, 4.6389222886, 0.0001825587
256, 68330, 0.009973, 342, 0.000050, 6.4867171975, 0.0002173565
512, 136330, 0.014998, 682, 0.000075, 9.0751033052, 0.0002633696
1024, 273300, 0.038420, 1367, 0.000192, 13.2977441696, 0.0004395970
2048, 546092, 0.063899, 2730, 0.000319, 18.5663243535, 0.0005536239
4096, 1091782, 0.126728, 5459, 0.000634, 25.5149348422, 0.0005572013
8192, 2184764, 0.397868, 10924, 0.001989, 39.1561949122, 0.0010690727
16384, 4369668, 0.830659, 21848, 0.004153, 54.8255816203, 0.0013161521
32768, 8736038, 1.766237, 43680, 0.008831, 71.8384569712, 0.0018251471
65536, 17475462, 3.694473, 87377, 0.018472, 97.9469443117, 0.0041736756
131072, 34961618, 6.373476, 174808, 0.031867, 151.0996753802, 0.0040151800
262144, 69983120, 14.500811, 349916, 0.072504, 212.7550704449, 0.0126549646
524288, 140451278, 30.857506, 702256, 0.154288, 299.7195487452, 0.0152009542
