Numbers per File, Time, Time Per File, Output Size
2, 0.0000000000, 0.0000000000, 20
4, 0.0000000000, 0.0000000000, 40
8, 0.0000000000, 0.0000000000, 80
16, 0.0000000000, 0.0000000000, 160
32, 0.0000000000, 0.0000000000, 320
64, 0.0000000000, 0.0000000000, 640
128, 0.0000000000, 0.0000000000, 1280
256, 0.0003150000, 0.0000315000, 2560
512, 0.0010100000, 0.0001010000, 5120
1024, 0.0009860001, 0.0000986000, 10240
2048, 0.0029899999, 0.0002990000, 20480
4096, 0.0030300000, 0.0003030000, 40960
8192, 0.0084260004, 0.0008426000, 81920
16384, 0.0199420005, 0.0019942001, 163840
32768, 0.0319110006, 0.0031911000, 327680
65536, 0.0548529997, 0.0054853000, 655360
131072, 0.1435569972, 0.0143556995, 1310720
262144, 0.2349559963, 0.0234955996, 2621440
524288, 0.4197190106, 0.0419718996, 5242880
